product, price
Staples Manila File Folders, 9.98
Staples SPL-230 8-Digit Desktop Calculator, 7.79
Staples Stickies Standard Notes, 3" x 3" Assorted Bold 100 Sheets/Pad 12 Pads/Pack, 13.29
Staples® 5" x 8" Line Ruled White Index Cards 500/Pack, 18.79
Hammermill Copy Plus 8.5" x 11" Copy Paper, 29.99
HP 950XL/951 Black High Yield Cyan Magenta Yellow Standard Yield Ink Cartridges 4 Pack, 114.99
BIC Soft Feel Retractable Ballpoint Pens Medium Point Assorted Ink 36/Pack, 14.49
Staples Wooden Pencils No. 2 Soft Lead 48/Box, 6.59
Staples Mechanical Pencils No. 2 Medium Lead Dozen, 4.57
Sharpie Permanent Markers Fine Point Black 12/Pack, 8.05
